optimizer,loss,top1,seconds,state_mb,peak_gpu_mb,device,dataset,task,seed,config,lr,target_scale,momentum,thermostat_lr,preset
adamw,0.29238781332969666,0.8945063694267515,64.98637700000836,0.8077239990234375,0.0,cpu,fashionmnist,vision,6,baseline,,,,,
sgd,0.5774661302566528,0.8291202229299363,64.11869216698688,0.40384674072265625,0.0,cpu,fashionmnist,vision,6,baseline,,,,,
rmsprop,0.2752518355846405,0.881468949044586,65.39541791699594,0.8077239990234375,0.0,cpu,fashionmnist,vision,6,baseline,,,,,
fanosv2,0.1932775378227234,0.9054538216560509,71.15100287500536,0.8076934814453125,0.0,cpu,fashionmnist,vision,6,low_lr,0.0005,0.1,0.85,0.003,default
fanosv2,0.23375575244426727,0.9037619426751592,71.9130771659984,0.8076934814453125,0.0,cpu,fashionmnist,vision,6,auto,0.001,0.1,0.85,0.003,auto
fanosv2,0.21338321268558502,0.9068471337579618,71.82245550000516,0.8076934814453125,0.0,cpu,fashionmnist,vision,6,stable,0.001,0.1,0.85,0.003,default
fanosv2,0.28765174746513367,0.9038614649681529,71.440313375002,0.8076934814453125,0.0,cpu,fashionmnist,vision,6,vision_sweep_best,0.001,0.05,0.85,0.003,default
adamw,0.37156736850738525,0.888734076433121,65.71773620801105,0.8077239990234375,0.0,cpu,fashionmnist,vision,7,baseline,,,,,
sgd,0.746208131313324,0.8349920382165605,64.7039010419976,0.40384674072265625,0.0,cpu,fashionmnist,vision,7,baseline,,,,,
rmsprop,0.4138413965702057,0.8891321656050956,66.19255408299796,0.8077239990234375,0.0,cpu,fashionmnist,vision,7,baseline,,,,,
fanosv2,0.23792189359664917,0.9116242038216561,71.5637468329951,0.8076934814453125,0.0,cpu,fashionmnist,vision,7,low_lr,0.0005,0.1,0.85,0.003,default
fanosv2,0.19728504121303558,0.90515525477707,72.19322579199797,0.8076934814453125,0.0,cpu,fashionmnist,vision,7,auto,0.001,0.1,0.85,0.003,auto
fanosv2,0.20609334111213684,0.9022691082802548,70.97175887500634,0.8076934814453125,0.0,cpu,fashionmnist,vision,7,stable,0.001,0.1,0.85,0.003,default
fanosv2,0.3508692681789398,0.8982882165605095,71.47248954199313,0.8076934814453125,0.0,cpu,fashionmnist,vision,7,vision_sweep_best,0.001,0.05,0.85,0.003,default
adamw,0.16752786934375763,0.900577229299363,65.51840404199902,0.8077239990234375,0.0,cpu,fashionmnist,vision,8,baseline,,,,,
sgd,0.4783354103565216,0.8357882165605095,64.37549137498718,0.40384674072265625,0.0,cpu,fashionmnist,vision,8,baseline,,,,,
rmsprop,0.22972965240478516,0.8909235668789809,65.58206554199569,0.8077239990234375,0.0,cpu,fashionmnist,vision,8,baseline,,,,,
fanosv2,0.11908675730228424,0.908937101910828,71.43467054198845,0.8076934814453125,0.0,cpu,fashionmnist,vision,8,low_lr,0.0005,0.1,0.85,0.003,default
fanosv2,0.1541568636894226,0.9093351910828026,71.56445258299937,0.8076934814453125,0.0,cpu,fashionmnist,vision,8,auto,0.001,0.1,0.85,0.003,auto
fanosv2,0.22850799560546875,0.9076433121019108,70.98388524999609,0.8076934814453125,0.0,cpu,fashionmnist,vision,8,stable,0.001,0.1,0.85,0.003,default
fanosv2,0.11166810989379883,0.9065485668789809,71.3626711669931,0.8076934814453125,0.0,cpu,fashionmnist,vision,8,vision_sweep_best,0.001,0.05,0.85,0.003,default
adamw,0.066758893430233,0.8953025477707006,65.38531295899884,0.8077239990234375,0.0,cpu,fashionmnist,vision,9,baseline,,,,,
sgd,0.20722082257270813,0.8357882165605095,64.58664824999869,0.40384674072265625,0.0,cpu,fashionmnist,vision,9,baseline,,,,,
rmsprop,0.0721760168671608,0.8783837579617835,66.10205633399892,0.8077239990234375,0.0,cpu,fashionmnist,vision,9,baseline,,,,,
fanosv2,0.06733573973178864,0.9121218152866242,71.41696487499576,0.8076934814453125,0.0,cpu,fashionmnist,vision,9,low_lr,0.0005,0.1,0.85,0.003,default
fanosv2,0.02948339655995369,0.9083399681528662,72.50877374999982,0.8076934814453125,0.0,cpu,fashionmnist,vision,9,auto,0.001,0.1,0.85,0.003,auto
fanosv2,0.051711831241846085,0.9066480891719745,71.32555812499777,0.8076934814453125,0.0,cpu,fashionmnist,vision,9,stable,0.001,0.1,0.85,0.003,default
fanosv2,0.065931536257267,0.9083399681528662,71.03025929200521,0.8076934814453125,0.0,cpu,fashionmnist,vision,9,vision_sweep_best,0.001,0.05,0.85,0.003,default
